Stop ID (3 Digit),Stop ID (Full),Stop Location,Latitude,Longitude,Known Accessibility Issue?
121,22121,8th St & D St (EB),38.550929,-121.744008,None
120,22120,8th St & D St (WB),38.55101,-121.744722,None
119,22119,8th St & G St (EB),38.551422,-121.74127,None
118,22118,8th St & G St (WB),38.551592,-121.74127,None
111,22111,8th St & J St (EB),38.5517,-121.738917,None
110,22110,8th St & J St (WB),38.551915,-121.738996,None
105,22105,8th St & L St (EB),38.552776,-121.734357,None
104,22104,8th St & L St (WB),38.552666,-121.73544,None
184,22184,8th St & Sycamore Ln (WB),38.550582,-121.764706,None
293,22293,Alhambra & 5th/Verona (EB),38.558171,-121.706264,None
299,22299,Alhambra & Atlantis / Arroyo (WB),38.558117,-121.699002,None
067,22067,Alhambra Dr & 5th St (EB),38.557806,-121.704304,None
973,22973,Alhambra Dr & 5th St (WB),38.558258,-121.705705,None
235,22235,Alhambra Dr & Arroyo Ave (EB),38.557859,-121.699464,None
236,22236,Alhambra Dr & Atlantis / Carcia (WB),38.558043,-121.703456,None
291,22291,Alhambra Dr & Loyola Dr (EB),38.560076,-121.709008,None
290,22290,Alhambra Dr & Loyola Dr (WB),38.560161,-121.708768,None
066,22066,Alhambra Dr & Mace Blvd (EB),38.558545,-121.696975,None
065,22065,Alhambra Dr & Mace Blvd (WB),38.558731,-121.697224,None
132,22132,Alvarado & Anderson (WB),38.562177,-121.757953,Accessing bus stop may be difficult due to parked cars.
135,22135,Alvarado Ave & Anderson (EB),38.561996,-121.759546,None
134,22134,Alvarado Ave & Anderson (WB),38.562206,-121.759369,None
133,22133,Alvarado Ave & Espana (WB),38.56181,-121.754914,None
137,22137,Alvarado Ave & Sycamore (EB),38.561942,-121.763012,None
136,22136,Alvarado Ave & Sycamore (WB),38.562097,-121.763253,Accessing bus stop may be difficult due to parked cars. Customers may not board at this location. Drop off service only.
365,22365,Anderson & Alvarado (SB),38.562604,-121.75865,None
129,22129,Anderson & Oriole (NB),38.572335,-121.755542,None
128,22128,Anderson & Sandpiper (EB),38.57313,-121.7486,None
301,22301,Anderson & Sunset (NB),38.549044,-121.758621,None
302,22302,Anderson & Sunset (SB),38.548921,-121.75883,None
157,22157,Anderson Rd & Amherst Dr (NB),38.55267,-121.758497,Accessing bus stop may be difficult due to parked cars.
158,22158,Anderson Rd & Amherst Dr (SB),38.55229,-121.75881,None
131,22131,Anderson Rd & Bianco (NB),38.563072,-121.75835,Accessing bus stop may be difficult due to parked cars.
154,22154,Anderson Rd & Hanover Dr (NB),38.559455,-121.758402,None
155,22155,Anderson Rd & Hanover Dr (SB),38.558559,-121.758707,None
160,22160,Anderson Rd & Russell Blvd (NB),38.546911,-121.758572,None
159,22159,Anderson Rd & Russell Blvd (SB),38.547301,-121.758874,None
130,22130,Anderson Rd & Valencia (NB),38.567411,-121.75832,None
153,22153,Anderson Rd & Villanova Dr (NB),38.556573,-121.758419,None
156,22156,Anderson Rd & Villanova Dr (SB),38.555919,-121.758736,None
494,22494,Arlington Blvd & Bucklebury Rd (NB),38.54888,-121.778511,None
224,22224,Arlington Blvd & Bucklebury Rd (SB),38.548774,-121.778798,None
209,22209,Arlington Blvd & Cabot St (NB),38.55394,-121.784973,None
210,22210,Arlington Blvd & Cabot St (SB),38.553711,-121.784842,None
495,22495,Arlington Blvd & Calaveras Ave (NB),38.550708,-121.778964,None
207,22207,Arlington Blvd & Lake Blvd (NB),38.555228,-121.787009,None
208,22208,Arlington Blvd & Lake Blvd (SB),38.55497,-121.786907,None
212,22212,Arlington Blvd & Shasta Dr (NB),38.553847,-121.782082,None
211,22211,Arlington Blvd & Shasta Dr (SB),38.553475,-121.781366,None
223,22223,Arlington Blvd & Westernesse Rd (SB),38.550279,-121.779268,No sidewalk present.
221,22221,Arthur St & Alameda Ave (SB),38.547687,-121.77068,None
220,22220,Arthur St & North Adams St (SB),38.551606,-121.770508,Accessing bus stop may be difficult due to parked cars.
014,22014,B St & 4th St (SB),38.545045,-121.745131,None
013,22013,B St & 4th St (NB),38.544903,-121.74487,None
022,22022,B St & 5th St (NB),38.547003,-121.745445,None
024,22024,B St & 7th St (NB),38.549654,-121.746057,None
023,22023,B St & 7th St (SB),38.548927,-121.746168,None
006,22006,C St & 1st St (SB),38.541913,-121.74309,None
126,22126,Catalina Dr & Alvarado Ave (NB),38.561405,-121.750314,Accessing bus stop may be difficult due to parked cars.
061,22061,Chiles Rd & Mace Blvd (EB),38.550766,-121.693476,None
352,22352,Chiles Rd & Mace Blvd (WB),38.551013,-121.693521,None
079,22079,Covell Blvd & Alhambra Dr (EB),38.564067,-121.708874,None
201,22201,Covell Blvd & Denali Dr (EB),38.560853,-121.778241,None
098,22098,Covell Blvd & J St (EB),38.560465,-121.737931,None
097,22097,Covell Blvd & J St (WB),38.560745,-121.739065,None
199,22199,Covell Blvd & John Jones Rd (WB),38.56108,-121.770763,None
245,22245,Covell Blvd & Mace Blvd (EB),38.564796,-121.70003,None
096,22096,Covell Blvd & Pole Line Rd (EB),38.562161,-121.731992,None
362,22362,Covell Blvd & Pole Line Rd (WB),38.562652,-121.73024,None
198,22198,Covell Blvd & Shasta Dr (EB),38.56072,-121.771723,None
200,22200,Covell Blvd & Shasta Dr (WB),38.561071,-121.772969,None
197,22197,Covell Blvd & Sycamore Ln (EB),38.560702,-121.764541,None
196,22196,Covell Blvd & Sycamore Ln (WB),38.561014,-121.76464,None
202,22202,Covell Blvd & West Area Bike Path (EB),38.560952,-121.781988,No connection between sidewalk and street.
364,22364,Covell Blvd & Wright Blvd (EB),38.563304,-121.717839,None
363,22363,Covell Blvd & Wright Blvd (WB),38.563519,-121.718295,None
037,22037,Cowell Blvd & Drew Ave (EB),38.539742,-121.726847,None
036,22036,Cowell Blvd & Drew Ave (WB),38.540044,-121.727536,None
048,22048,Cowell Blvd & Drummond Ave (EB),38.547353,-121.712628,None
497,22497,Cowell Blvd & El Cemonte Ave (EB),38.548811,-121.689966,None
063,22063,Cowell Blvd & El Cemonte Ave (WB),38.548964,-121.690089,None
056,22056,Cowell Blvd & Ensenada Dr (EB),38.547758,-121.69978,None
055,22055,Cowell Blvd & Ensenada Dr (WB),38.548026,-121.699944,None
