apartment_id,case_number,distance_miles
0,C25-1382,1.242153437084899
0,C25-1383,1.8578783732771982
0,C25-1374,1.3609296841130094
0,C25-1375,1.7221159681816596
0,C25-1376,1.7155536558549176
0,C25-1377,1.5934288236112193
0,C25-1378,1.6167493877918115
0,C25-1379,1.6956795807100813
0,C25-1380,1.7695163100851274
0,C25-1370,1.2651082212112916
0,C25-1371,2.1415277707119142
0,C25-1372,1.7695163100851274
0,C25-1373,1.3609296841130094
0,C25-1366,1.0184498124255086
0,C25-1367,1.3206679739559155
0,C25-1368,1.2148497414719792
0,C25-1369,1.7041045961692276
0,C25-1355,1.9416798738817609
0,C25-1356,1.1301840955840918
0,C25-1357,1.417022078935616
0,C25-1358,1.7260629680498742
0,C25-1359,1.666588550778507
0,C25-1360,1.6789504851268962
0,C25-1362,1.5483306565528558
0,C25-1363,1.6789504851268962
0,C25-1364,1.8378769475171786
0,C25-1365,1.3609296841130094
0,C25-1349,1.7260629680498742
0,C25-1350,1.453270648046296
0,C25-1351,1.4690450671732935
0,C25-1352,1.6391306195413329
0,C25-1353,2.606278866527216
0,C25-1344,2.2814717888104563
0,C25-1345,1.2554706882948954
0,C25-1346,1.7699577952931735
0,C25-1347,1.2013374134550734
0,C25-1348,1.2312079707874737
0,C25-1336,2.2053954444347297
0,C25-1337,1.9095630301207678
0,C25-1338,1.0882956323494763
0,C25-1339,1.766707472334898
0,C25-1340,1.3609296841130094
0,C25-1341,1.7041045961692276
0,C25-1342,1.8378769475171786
0,C25-1343,1.3154289860664445
0,C25-1324,1.0774849933974575
0,C25-1325,2.209006701499072
0,C25-1326,1.5934288236112193
0,C25-1327,2.15391699996151
0,C25-1328,0.9944662706981312
0,C25-1329,1.2619652814990872
0,C25-1330,1.766707472334898
0,C25-1331,1.840731407594813
0,C25-1332,1.4248842540513382
0,C25-1333,1.3609296841130094
0,C25-1334,1.8490941417231677
0,C25-1335,1.1209425128823594
0,C25-1316,1.5313259168178852
0,C25-1317,1.9055628423398552
0,C25-1318,1.8196489462857783
0,C25-1319,1.7155536558549176
0,C25-1320,1.766707472334898
0,C25-1321,1.5957825444870266
0,C25-1322,1.3609296841130094
0,C25-1323,1.9616049361221384
0,C25-1310,2.6001590644451933
0,C25-1311,1.5934288236112193
0,C25-1312,1.2312079707874737
0,C25-1313,2.2234943020935543
0,C25-1314,1.58981534502338
0,C25-1315,1.407900998563998
0,C25-1302,1.2259064409004097
0,C25-1303,1.6956795807100813
0,C25-1304,1.6167493877918115
0,C25-1305,1.8523640625968285
0,C25-1306,1.5957825444870266
0,C25-1307,1.6789504851268962
0,C25-1308,1.6789504851268962
0,C25-1297,1.5976594144941847
0,C25-1298,1.3609296841130094
0,C25-1299,2.030941944021123
0,C25-1300,1.6615659540033176
0,C25-1301,1.7041045961692276
0,C25-1289,1.2711494293994985
0,C25-1290,0.9535664194660349
0,C25-1291,0.9535664194660349
0,C25-1292,1.5708364405151567
0,C25-1293,1.7041045961692276
0,C25-1294,1.180447625826836
0,C25-1295,1.6794346585515014
0,C25-1296,0.17018515553639993
0,C25-1284,1.395057520644046
0,C25-1285,1.4285680509926149
0,C25-1286,0.9535664194660349
0,C25-1287,1.223700609155401
0,C25-1279,1.7996700156718015
0,C25-1280,1.242153437084899
0,C25-1281,1.5957825444870266
0,C25-1282,1.311852740980749
0,C25-1283,1.6956795807100813
0,C25-1273,1.6956795807100813
0,C25-1274,1.7093684419615391
0,C25-1275,1.6277770955968505
0,C25-1276,1.1881205642651815
0,C25-1277,1.417022078935616
0,C25-1278,1.766707472334898
0,C25-1265,1.6956795807100813
0,C25-1266,1.1032464114151317
0,C25-1267,2.12483169674221
0,C25-1268,1.6481554144720654
0,C25-1269,1.6481554144720654
0,C25-1270,1.949287727233746
0,C25-1271,1.6794346585515014
0,C25-1272,1.3303751617017976
0,C25-1262,1.5957825444870266
0,C25-1263,2.088925525188802
0,C25-1264,1.5934288236112193
0,C25-1253,1.2148497414719792
0,C25-1254,0.9535664194660349
0,C25-1255,1.951490628714543
0,C25-1256,1.7717948434496067
0,C25-1257,1.110680336768107
0,C25-1258,1.7093684419615391
0,C25-1259,1.7393030509862424
0,C25-1260,1.6972202980390174
0,C25-1261,1.2163031958162736
