apartment_id,grocery_store_id,distance_miles,time_min
4,22,7.375694384033206,14.316666666666666
5,0,1.6000347968732525,5.7
5,1,1.8218648638572335,6.583333333333333
5,2,2.0287819851616193,6.916666666666667
5,3,1.7926603452346925,6.716666666666667
5,4,1.955460002236942,7.716666666666667
5,5,4.703791616439037,12.333333333333334
5,6,1.9796935389662844,6.7
5,7,1.70442541663042,6.2
5,8,1.8902158648887122,7.15
5,9,2.4115475909379,9.316666666666666
5,10,3.691575428436502,8.9
5,11,4.453999776305815,11.75
5,12,1.3179315744342401,4.616666666666666
5,13,3.1982054755365557,10.316666666666666
5,14,3.000608945281917,9.683333333333334
5,15,0.8245616215342936,5.683333333333334
5,16,0.11184709259696522,1.4666666666666666
5,17,4.237762063951682,10.766666666666667
5,18,0.7990853393316515,5.516666666666667
5,19,1.1308983807026483,6.116666666666666
5,20,2.4115475909379,9.316666666666666
5,21,21.026632035492813,25.45
5,22,7.444045385064685,14.283333333333333
6,0,3.129854474505077,10.55
6,1,2.9726471721326755,9.433333333333334
6,2,3.908434513527285,12.266666666666667
6,3,3.139796438291474,10.683333333333334
6,4,3.1497384020778707,10.866666666666667
6,5,7.875899437036301,11.666666666666666
6,6,3.8593460673319497,12.066666666666666
6,7,2.996259336125368,9.783333333333333
6,8,3.116805647035431,10.533333333333333
6,9,0.5710415449811724,2.8333333333333335
6,10,8.233810133346589,12.933333333333334
6,11,7.613680142170082,11.5
6,12,3.9662221780357165,11.9
6,13,6.287670722159395,10.933333333333334
6,14,5.755154286850511,10.55
6,15,2.3208271713870285,8.316666666666666
6,16,2.6252998123454336,9.133333333333333
6,17,8.281655834068625,13.733333333333333
6,18,2.3581095355860167,8.766666666666667
6,19,1.9219058744578523,7.066666666666666
6,20,0.5710415449811724,2.8333333333333335
6,21,19.58691140467521,23.2
6,22,10.424770402773808,13.1
7,0,1.7926603452346925,6.4
7,1,1.4291572942945556,6.283333333333333
7,2,1.4005741484086645,5.283333333333333
7,3,1.2968049013881469,5.783333333333333
7,4,1.1700448631115863,5.116666666666666
7,5,2.6128723576124377,7.616666666666666
7,6,1.4745175040699916,5.45
7,7,1.8342923185902296,6.766666666666667
7,8,1.2359103731964658,5.716666666666667
7,9,6.1410267563100405,12.233333333333333
7,10,2.9272869623572397,8.75
7,11,2.2108441970000126,6.733333333333333
7,12,2.036238458001417,7.266666666666667
7,13,0.5101470167894914,3.1
7,14,0.3001230318018567,2.1666666666666665
7,15,5.734648986541067,10.4
7,16,3.5436887171138483,11.633333333333333
7,17,3.003715808965166,8.116666666666667
7,18,5.771309978003406,10.85
7,19,2.820410851653473,10.216666666666667
7,20,6.1410267563100405,12.233333333333333
7,21,20.717188412641207,23.766666666666666
7,22,6.0720543825419115,9.216666666666667
8,0,1.8218648638572335,5.816666666666666
8,1,1.5782867510905092,5.633333333333334
8,2,1.4297786670312054,4.7
8,3,1.4459343581841004,5.133333333333334
8,4,1.3197956926441896,4.466666666666667
8,5,2.2089800787900633,6.15
8,6,1.5037220226925325,4.866666666666666
8,7,1.8634968372127705,6.183333333333334
8,8,1.3850398299924194,5.066666666666666
8,9,6.290156213105994,11.566666666666666
8,10,2.566269402363702,7.433333333333334
8,11,1.8069519181776381,5.266666666666667
8,12,2.0660643493606075,6.7
8,13,0.37841599661973235,1.3666666666666667
8,14,0.5834689997141685,3.0
8,15,5.883778443337021,9.75
8,16,3.572893235736389,11.05
8,17,3.032920327587707,7.533333333333333
8,18,5.9210608075360085,10.2
8,19,2.8502367430126636,9.633333333333333
8,20,6.290156213105994,11.566666666666666
8,21,20.86693924217381,23.116666666666667
8,22,6.221183839337866,8.566666666666666
9,0,1.161345644798489,4.35
9,1,1.6348316701256416,6.433333333333334
9,2,0.23363614898032736,1.9333333333333333
9,3,1.2949407831781974,4.933333333333334
9,4,1.4552549492338476,6.433333333333334
9,5,3.1895062572234583,8.783333333333333
9,6,0.30820087737830415,2.1
9,7,1.202977618154026,4.716666666666667
9,8,1.389389439148968,5.866666666666666
9,9,4.364522102228243,12.933333333333334
9,10,3.0372699367442557,6.95
9,11,2.787478096611033,7.9
9,12,0.8699218313097294,3.9166666666666665
9,13,1.086780916400512,4.283333333333333
9,14,0.8885630134092237,3.6333333333333333
9,15,2.777536132824636,9.316666666666666
9,16,2.376750717685511,8.283333333333333
9,17,2.415275827357799,6.583333333333333
9,18,2.7514384778853445,9.15
9,19,2.1897175239539193,8.183333333333334
9,20,4.364522102228243,12.933333333333334
9,21,21.51068139734301,25.616666666666667
9,22,6.865547367243715,11.066666666666666
10,0,1.9480035293971443,6.85
10,1,2.210222824263363,7.866666666666666
10,2,2.376750717685511,8.05
10,3,2.1406290777585846,7.866666666666666
10,4,2.3034287347608338,8.866666666666667
